
2015年MUGEN CUP越野車公開賽
Race Results for A Final: Round:5 1：8 油越
Position 	Car # 	Name 	Laps 	Time 	Fastest
Lap 	Average
Lap
1 	1 	小平 	133 	1h00m17.616 	25.461 	27.200
2 	3 	文一 	130 	1h00m21.658 	25.122 	27.859
3 	2 	NELSON WOO 	128 	1h00m15.419 	25.706 	28.245
4 	8 	李聰 	128 	1h00m15.581 	25.554 	28.247
5 	4 	TQ強 	127 	1h00m12.271 	26.088 	28.443
6 	7 	Carson Yeung 	125 	1h00m02.779 	26.392 	28.822
7 	5 	黃聖傑 	122 	57m52.429 	25.355 	28.463
8 	9 	劉聰 	121 	1h00m05.399 	25.801 	29.797
9 	10 	郭耀威 	120 	1h00m23.814 	26.037 	30.198
10 	6 	林樂樺 	92 	43m12.775 	26.146 	28.182

Race Laptimes Lap 	Car 1 	Car 2 	Car 3 	Car 4 	Car 5 	Car 6 	Car 7 	Car 8 	Car 9 	Car 10
81	34.848	30.532	26.126	27.023	26.848	26.979	28.477	28.234	26.862	27.274
82	27.203	27.331	25.722	28.988	26.680	38.370	27.435	27.465	29.038	35.395
83	26.419	31.525	28.234	26.664	26.489	26.990	27.669	26.249	31.475	29.815
84	27.197	26.894	26.816	27.777	28.174	27.301	33.391	27.501	26.736	28.352
85	28.426	26.273	26.441	35.124	27.186	26.146	27.097	34.374	30.273	27.700
86	27.155	26.759	26.590	26.943	25.994	26.606	27.068	34.697	28.964	35.045
87	26.564	29.102	25.534	26.839	33.520	26.983	27.255	27.196	27.480	29.172
88	26.152	26.840	25.568	29.223	26.759	26.796	27.591	27.097	34.929	27.480
89	26.280	27.734	26.898	34.527	26.299	27.050	28.522	27.290	28.077	36.011
90	44.730	30.987	27.304	28.710	27.410	27.674	27.959	27.523	26.670	28.312
91	29.986	28.329	26.025	26.986	35.943	31.912	29.438	26.802	34.111	30.212
92	27.474	27.873	26.474	30.656	27.940	61.321	28.224	27.307	27.215	34.985
93	33.886	33.025	33.111	27.831	28.207		35.456	32.560	26.813	28.024
94	26.400	27.628	26.211	26.719	26.713		28.301	27.902	31.420	26.836
95	31.977	27.231	25.529	26.544	27.409		27.358	27.209	27.760	34.728
96	26.814	26.412	30.683	32.361	28.270		27.008	27.812	35.294	27.859
97	26.476	33.663	32.439	26.584	27.064		27.891	27.005	36.018	28.099
98	26.515	26.461	41.739	26.294	25.764		27.101	28.751	27.455	32.134
99	26.015	27.759	25.247	27.042	26.133		28.498	33.303	26.634	27.129
100	27.761	26.712	26.242	29.447	25.993		28.447	29.799	28.274	29.265
101	26.393	35.816	26.183	29.621	34.729		33.864	26.728	26.421	34.538
102	27.578	27.590	25.122	26.592	27.062		27.725	28.939	26.539	33.238
103	27.572	34.161	26.334	27.263	27.479		28.163	26.416	33.552	28.451
104	30.761	27.638	27.728	39.099	32.126		27.912	27.081	27.451	26.636
105	26.305	33.720	29.133	29.368	26.511		27.172	27.265	35.460	27.668
106	26.374	27.244	27.597	27.045	26.862		29.406	26.890	26.458	41.942
107	26.532	27.352	27.074	37.745	32.433		29.124	29.076	40.729	26.701
108	26.861	37.514	33.298	27.313	28.088		27.555	26.405	26.774	35.323
109	26.879	29.972	36.723	34.566	27.907		35.791	36.075	32.406	33.401
110	32.481	27.902	28.477	27.160	28.580		27.000	27.987	32.656	39.183
111	26.439	34.306	28.159	29.496	31.719		27.914	27.733	32.153	26.827
112	26.946	26.493	34.478	28.051	26.838		36.964	26.382	26.837	34.669
113	25.994	27.382	41.026	26.793	26.639		27.405	32.524	27.188	29.399
114	26.487	33.430	35.100	30.655	26.071		26.590	26.755	30.085	69.545
115	26.337	27.522	26.690	27.485	35.511		36.456	27.180	28.566	27.728
116	26.210	26.594	27.210	27.241	26.942		27.172	27.229	35.661	27.044
117	26.901	32.486	26.479	27.179	29.448		27.094	26.228	35.291	31.086
118	26.466	27.760	25.462	32.382	27.556		33.113	32.648	26.909	27.374
119	26.037	27.888	32.372	27.289	30.545		28.599	31.600	27.903	41.120
120	27.793	27.587	26.303	27.607	27.459		27.479	28.507	27.153	29.381
121	26.182	26.876	29.444	26.715	32.059		27.289	27.529	27.706	
122	27.215	26.246	35.563	27.411	26.899		27.466	26.776		
123	27.321	27.435	25.934	27.172			29.141	27.238		
124	33.384	28.688	27.142	27.293			27.258	27.384		
125	27.847	27.105	26.568	26.815			29.088	27.298		
126	27.417	26.009	26.253	28.186				26.318		
127	26.222	27.505	27.531	26.273				32.862		
128	28.644	28.367	27.117					25.791		
129	27.306		26.976							
130	27.601		26.293							
131	27.621									
132	27.231									
133	26.541									

Results generated by LAPS FREE - www.rctiming.com 
